p,q,r,output
PersonX drives PersonX's car to work,glad,oReact,1
PersonX drives PersonX's car to work,smart,xAttr,1
PersonX drives PersonX's car to work,successful,xAttr,1
PersonX drives PersonX's car to work,focused,xAttr,1
PersonX drives PersonX's car to work,helpful,xAttr,1
PersonX drives PersonX's car to work,caring,xAttr,1
PersonX drives PersonX's car to work,mobile,xAttr,1
PersonX drives PersonX's car to work,uses gas,xEffect,1
PersonX drives PersonX's car to work,get's to work on time,xEffect,1
PersonX drives PersonX's car to work,be responsible,xIntent,1
PersonX drives PersonX's car to work,to get to work,xIntent,1
PersonX drives PersonX's car to work,to earn money,xIntent,1
PersonX drives PersonX's car to work,to make money,xIntent,1
PersonX drives PersonX's car to work,to hop in the car,xNeed,1
PersonX drives PersonX's car to work,start car,xNeed,1
PersonX drives PersonX's car to work,to turn the keys,xNeed,1
PersonX drives PersonX's car to work,fill with diesel,xNeed,1
PersonX drives PersonX's car to work,to get shoes on,xNeed,1
PersonX drives PersonX's car to work,get gas in the car,xNeed,1
PersonX drives PersonX's car to work,nervous,xReact,1
PersonX drives PersonX's car to work,dutiful,xReact,1
PersonX drives PersonX's car to work,proud,xReact,1
PersonX drives PersonX's car to work,responsible,xReact,1
PersonX drives PersonX's car to work,to park,xWant,1
PersonX drives PersonX's car to work,complete to desire work,xWant,1
PersonX drives PersonX's car to work,to park the car,xWant,1
PersonX drives PersonX's car to work,get out,xWant,1
PersonX drives PersonX's car to work,more speed,xWant,1
PersonX drives PersonX's car to work,go inside,xWant,1
PersonX drives PersonX's car to work,to clock in,xWant,1
PersonX obtains ___ from sources,like they can trust person x.,oReact,1
PersonX obtains ___ from sources,smart,xAttr,1
PersonX obtains ___ from sources,persistent,xAttr,1
PersonX obtains ___ from sources,intelligent,xAttr,1
PersonX obtains ___ from sources,diligent,xAttr,1
PersonX obtains ___ from sources,methodical,xAttr,1
PersonX obtains ___ from sources,sharp,xAttr,1
PersonX obtains ___ from sources,stores information,xEffect,1
PersonX obtains ___ from sources,gains knowledge,xEffect,1
PersonX obtains ___ from sources,to get something,xIntent,1
PersonX obtains ___ from sources,to observe,xNeed,1
PersonX obtains ___ from sources,to work hard,xNeed,1
PersonX obtains ___ from sources,trusted.,xReact,1
PersonX obtains ___ from sources,fulfilled,xReact,1
PersonX obtains ___ from sources,to get somethings from that money,xWant,1
PersonX obtains ___ from sources,to keep it up,xWant,1
PersonX obtains ___ from sources,to get a money,xWant,1
PersonX obtains ___ from sources,to use it for good purpose,xWant,1
PersonX needs a new couch,broke,xAttr,1
PersonX needs a new couch,responsible,xAttr,1
PersonX needs a new couch,intent,xAttr,1
PersonX needs a new couch,mature,xAttr,1
PersonX needs a new couch,decided,xAttr,1
PersonX needs a new couch,poor,xAttr,1
PersonX needs a new couch,must shop for furniture,xEffect,1
PersonX needs a new couch,loses money on the purchase,xEffect,1
PersonX needs a new couch,wear out their old couch,xNeed,1
PersonX needs a new couch,destroy their old couch,xNeed,1
PersonX needs a new couch,to decide to replace the couch,xNeed,1
PersonX needs a new couch,to wear out a couch,xNeed,1
PersonX needs a new couch,excited to get it,xReact,1
PersonX needs a new couch,annoyed with couch,xReact,1
PersonX needs a new couch,to shop for a couch,xWant,1
PersonX needs a new couch,buy a new couch,xWant,1
PersonX needs a new couch,go to a furniture store,xWant,1
PersonX needs a new couch,go shopping for a new couch,xWant,1
PersonX needs a new couch,to buy a new couch,xWant,1
PersonX needs a new couch,order a new couch,xWant,1
PersonX celebrates PersonY's victory,persony eats a lot of food.,oEffect,1
PersonX celebrates PersonY's victory,persony gets too drunk and falls down.,oEffect,1
PersonX celebrates PersonY's victory,loved,oReact,1
PersonX celebrates PersonY's victory,wanted,oReact,1
PersonX celebrates PersonY's victory,valued,oReact,1
PersonX celebrates PersonY's victory,ecstatic,oReact,1
PersonX celebrates PersonY's victory,lots of joy,oReact,1
PersonX celebrates PersonY's victory,happy,oReact,1
PersonX celebrates PersonY's victory,super excited,oReact,1
PersonX celebrates PersonY's victory,to celebrate as well,oWant,1
PersonX celebrates PersonY's victory,to say thank you,oWant,1
PersonX celebrates PersonY's victory,celebratory,xAttr,1
PersonX celebrates PersonY's victory,empathetic,xAttr,1
PersonX celebrates PersonY's victory,proud,xAttr,1
PersonX celebrates PersonY's victory,encouraging,xAttr,1
PersonX celebrates PersonY's victory,caring,xAttr,1
PersonX celebrates PersonY's victory,supportive,xAttr,1
PersonX celebrates PersonY's victory,Gets praised,xEffect,1
PersonX celebrates PersonY's victory,Gets promoted,xEffect,1
PersonX celebrates PersonY's victory,is proud,xIntent,1
PersonX celebrates PersonY's victory,create significance in persony's victory,xIntent,1
PersonX celebrates PersonY's victory,to be liked,xIntent,1
PersonX celebrates PersonY's victory,to be nice,xIntent,1
PersonX celebrates PersonY's victory,likes person y,xIntent,1
PersonX celebrates PersonY's victory,to show support,xIntent,1
PersonX celebrates PersonY's victory,be aware of the victory,xNeed,1
PersonX celebrates PersonY's victory,to see person y,xNeed,1
PersonX celebrates PersonY's victory,plan a celebration,xNeed,1
PersonX celebrates PersonY's victory,to call person y,xNeed,1
PersonX celebrates PersonY's victory,very excited,xReact,1
PersonX celebrates PersonY's victory,satisified,xReact,1
PersonX celebrates PersonY's victory,proud,xReact,1
PersonX celebrates PersonY's victory,elated,xReact,1
PersonX celebrates PersonY's victory,happy,xReact,1
PersonX celebrates PersonY's victory,offer congratulations,xWant,1
PersonX celebrates PersonY's victory,to party,xWant,1
PersonX celebrates PersonY's victory,to go to dinner,xWant,1
PersonX celebrates PersonY's victory,rest,xWant,1
PersonX brings it to school,entertained,oReact,1
PersonX brings it to school,amused,oReact,1
PersonX brings it to school,moving,xAttr,1
PersonX brings it to school,Secretive,xAttr,1
PersonX brings it to school,local,xAttr,1
PersonX brings it to school,Prepared,xAttr,1
PersonX brings it to school,driving,xAttr,1
PersonX brings it to school,PersonX gets sent to the principal,xEffect,1
PersonX brings it to school,PersonX gets expelled,xEffect,1
PersonX brings it to school,gets asked a lot of questions,xEffect,1
PersonX brings it to school,is tired out from carrying it,xEffect,1
PersonX brings it to school,gets in trouble with parents,xEffect,1
PersonX brings it to school,gets caught,xEffect,1
PersonX brings it to school,to get a good grade,xIntent,1
PersonX brings it to school,to show it off,xIntent,1
PersonX brings it to school,to grab it,xNeed,1
PersonX brings it to school,find it,xNeed,1
PersonX brings it to school,to ask their parents if they can take it,xNeed,1
PersonX brings it to school,put it in the bag,xNeed,1
PersonX brings it to school,to put it in their bag,xNeed,1
PersonX brings it to school,to walk to school,xNeed,1
PersonX brings it to school,nervous,xReact,1
PersonX brings it to school,excited,xReact,1
PersonX brings it to school,proud,xReact,1
PersonX brings it to school,show it to friends,xWant,1
PersonX brings it to school,to hide it from the teacher,xWant,1
PersonX brings it to school,use it or play with it,xWant,1
PersonX brings it to school,to keep it safe,xWant,1
PersonX brings it to school,to bring it back home,xWant,1
PersonX brings it to school,to show it to all their friends,xWant,1
PersonX takes a stab at ___,walks away,oEffect,1
PersonX takes a stab at ___,screams for help,oEffect,1
PersonX takes a stab at ___,calls the police,oEffect,1
PersonX takes a stab at ___,helps PersonX,oEffect,1
PersonX takes a stab at ___,bold,xAttr,1
PersonX takes a stab at ___,understood,xAttr,1
PersonX takes a stab at ___,courageous,xAttr,1
PersonX takes a stab at ___,aggrasive,xAttr,1
PersonX takes a stab at ___,curious,xAttr,1
PersonX takes a stab at ___,furious,xAttr,1
PersonX takes a stab at ___,answering the questions,xEffect,1
PersonX takes a stab at ___,faints,xEffect,1
PersonX takes a stab at ___,cries,xEffect,1
PersonX takes a stab at ___,winning the prize,xEffect,1
PersonX takes a stab at ___,screams,xEffect,1
PersonX takes a stab at ___,playing the card game,xEffect,1
PersonX takes a stab at ___,falls on the floor,xEffect,1
PersonX takes a stab at ___,to figure out the problem.,xIntent,1
PersonX takes a stab at ___,to try something out,xIntent,1
PersonX takes a stab at ___,to try the new thing,xIntent,1
PersonX takes a stab at ___,decide to try it,xNeed,1
PersonX takes a stab at ___,have an interest,xNeed,1
PersonX takes a stab at ___,decide to try something,xNeed,1
PersonX takes a stab at ___,to make an action plan,xNeed,1
PersonX takes a stab at ___,to gather up determination,xNeed,1
PersonX takes a stab at ___,practice,xNeed,1
PersonX takes a stab at ___,smart.,xReact,1
PersonX takes a stab at ___,happy,xReact,1
PersonX takes a stab at ___,improved,xReact,1
PersonX takes a stab at ___,frustrated,xReact,1
PersonX takes a stab at ___,try again,xWant,1
PersonX takes a stab at ___,practive,xWant,1
PersonX takes a stab at ___,gain skill,xWant,1
PersonX takes a stab at ___,to continue trying,xWant,1
PersonX takes a stab at ___,take notes on their failure,xWant,1
PersonX takes a stab at ___,to give up,xWant,1
PersonX locks ___ in PersonX's car,calls for help,oEffect,1
PersonX locks ___ in PersonX's car,frowns,oEffect,1
PersonX locks ___ in PersonX's car,annoyed,oReact,1
PersonX locks ___ in PersonX's car,relieved,oReact,1
PersonX locks ___ in PersonX's car,wicked,xAttr,1
PersonX locks ___ in PersonX's car,forgetful,xAttr,1
PersonX locks ___ in PersonX's car,preoccupied,xAttr,1
PersonX locks ___ in PersonX's car,sneaky,xAttr,1
PersonX locks ___ in PersonX's car,distracted,xAttr,1
PersonX locks ___ in PersonX's car,has to walk,xEffect,1
PersonX locks ___ in PersonX's car,waits for a locksmith,xEffect,1
PersonX locks ___ in PersonX's car,calls locksmith,xEffect,1
PersonX locks ___ in PersonX's car,screams in shock,xEffect,1
PersonX locks ___ in PersonX's car,calls a locksmith,xEffect,1
PersonX locks ___ in PersonX's car,gets yelled at,xEffect,1
PersonX locks ___ in PersonX's car,to of been in the car,xNeed,1
PersonX locks ___ in PersonX's car,to be in the car,xNeed,1
PersonX locks ___ in PersonX's car,to of left the keys in it,xNeed,1
PersonX locks ___ in PersonX's car,to exit it at some point,xNeed,1
PersonX locks ___ in PersonX's car,sorry,xReact,1
PersonX locks ___ in PersonX's car,"mad, worried",xReact,1
PersonX locks ___ in PersonX's car,to break a window,xWant,1
PersonX locks ___ in PersonX's car,to find their other keys,xWant,1
PersonX locks ___ in PersonX's car,to unlock the door,xWant,1
PersonX locks ___ in PersonX's car,to call a locksmith,xWant,1
PersonX puts ___ on the bed,open,oReact,1
PersonX puts ___ on the bed,compassionate,xAttr,1
PersonX puts ___ on the bed,clean,xAttr,1
PersonX puts ___ on the bed,tidy,xAttr,1
PersonX puts ___ on the bed,friendly,xAttr,1
PersonX puts ___ on the bed,strong,xAttr,1
PersonX puts ___ on the bed,invited to hot bath,xEffect,1
PersonX puts ___ on the bed,gets thanked,xEffect,1
PersonX puts ___ on the bed,puts down,xEffect,1
PersonX puts ___ on the bed,picks up,xEffect,1
PersonX puts ___ on the bed,gets yelled at,xEffect,1
PersonX puts ___ on the bed,to freshen the room,xIntent,1
PersonX puts ___ on the bed,to get it out of the way,xIntent,1
PersonX puts ___ on the bed,to keep it safe,xIntent,1
PersonX puts ___ on the bed,to keep something safe,xIntent,1
PersonX puts ___ on the bed,to grab the item,xNeed,1
PersonX puts ___ on the bed,to lift it up,xNeed,1
PersonX puts ___ on the bed,to pick up something,xNeed,1
PersonX puts ___ on the bed,to walk towards the bed,xNeed,1
PersonX puts ___ on the bed,responsible,xReact,1
PersonX puts ___ on the bed,content,xReact,1
PersonX puts ___ on the bed,lighter,xReact,1
PersonX puts ___ on the bed,satisfied,xReact,1
PersonX puts ___ on the bed,to have a clean bedroom,xWant,1
PersonX puts ___ on the bed,to take a nap,xWant,1
PersonX puts ___ on the bed,to have fresh linens,xWant,1
PersonX puts ___ on the bed,to get in the bed,xWant,1
PersonX puts ___ on the bed,to tuck something away,xWant,1
PersonX puts ___ on the bed,to leave the bed,xWant,1
PersonX shares the author's ___,to contact person X,oWant,1
PersonX shares the author's ___,to ignore the information,oWant,1
PersonX shares the author's ___,to listen to the information,oWant,1
PersonX shares the author's ___,to discuss the viewpoints with person X,oWant,1
PersonX shares the author's ___,attached,xAttr,1
PersonX shares the author's ___,involved,xAttr,1
PersonX shares the author's ___,empathetic,xAttr,1
PersonX shares the author's ___,educated,xAttr,1
PersonX shares the author's ___,Like-minded,xAttr,1
PersonX shares the author's ___,Open handed,xAttr,1
PersonX shares the author's ___,smiles with satisfaction,xEffect,1
PersonX shares the author's ___,is praised,xEffect,1
PersonX shares the author's ___,profile,xIntent,1
PersonX shares the author's ___,to evaluate the author's viewpoints,xNeed,1
PersonX shares the author's ___,to read what the author has wrtitten,xNeed,1
PersonX shares the author's ___,to learn something from the author,xNeed,1
PersonX shares the author's ___,to talk to others,xNeed,1
PersonX shares the author's ___,great,xReact,1
PersonX shares the author's ___,to collect more support for the author's thoughts,xWant,1
PersonX shares the author's ___,to talk the author's ideas with friends of person X,xWant,1
PersonX shares the author's ___,to follow up with others,xWant,1
PersonX shares the author's ___,To express those thoughts,xWant,1
PersonX shares the author's ___,To speak out loud,xWant,1
PersonX shares the author's ___,to continue sharing,xWant,1
PersonX goes home happy,successful,xAttr,1
PersonX goes home happy,lucky,xAttr,1
PersonX goes home happy,appreciated,xAttr,1
PersonX goes home happy,Optimistic,xAttr,1
PersonX goes home happy,Joyful,xAttr,1
PersonX goes home happy,strong,xAttr,1
PersonX goes home happy,has more energy,xEffect,1
PersonX goes home happy,sleeps well that night,xEffect,1
PersonX goes home happy,is offered a ride in a car,xEffect,1
PersonX goes home happy,hums tune under breath,xEffect,1
PersonX goes home happy,is pleased and done.,xIntent,1
PersonX goes home happy,to be happy,xIntent,1
PersonX goes home happy,to get home,xIntent,1
PersonX goes home happy,He can't wait to tell his wife.,xNeed,1
PersonX goes home happy,Finds out he's getting a promotion.,xNeed,1
PersonX goes home happy,socialize with friends,xNeed,1
PersonX goes home happy,attend a party,xNeed,1
PersonX goes home happy,satisfied,xReact,1
PersonX goes home happy,great,xReact,1
PersonX goes home happy,happy,xReact,1
PersonX goes home happy,to drive home after the party,xWant,1
PersonX goes home happy,to be content,xWant,1
PersonX goes home happy,What is the best wine to celebrate.,xWant,1
PersonX goes home happy,Takes his wife out.,xWant,1
