p,q,r,output
PersonX fails to have PersonX's hand out,thinks about safety of person,xEffect,0
PersonX fails to have PersonX's hand out,Doesn't think about safety of person,xEffect,0
PersonX doesn't fail to have PersonX's hand out,Doesn't think about safety of person,xEffect,0
PersonX disowns a farm,to stay at the event,xAttr,0
PersonX disowns a farm,don't stay at the event,xAttr,0
PersonX doesn't disown a farm,don't stay at the event,xAttr,0
PersonX is by no means cleaning out PersonY's garage,righteous,xIntent,0
PersonX is by no means cleaning out PersonY's garage,not righteous,xIntent,0
PersonX isn't by no means cleaning out PersonY's garage,not righteous,xIntent,0
PersonX hardly ever makes breakfast,cautious,xAttr,0
PersonX hardly ever makes breakfast,not cautious,xAttr,0
PersonX hardly ever doesn't make breakfast,not cautious,xAttr,0
PersonX becomes unpopular,unhelpful,xReact,0
PersonX becomes unpopular,not unhelpful,xReact,0
PersonX doesn't become unpopular,not unhelpful,xReact,0
PersonX fails to cut PersonY's grass,fill trash slowly,xNeed,0
PersonX fails to cut PersonY's grass,Don't fill trash slowly,xNeed,0
PersonX doesn't fail to cut PersonY's grass,Don't fill trash slowly,xNeed,0
PersonX prevents themselves from telling PersonY's boss,to leave,xAttr,0
PersonX prevents themselves from telling PersonY's boss,don't leave,xAttr,0
PersonX doesn't prevent themselves from telling PersonY's boss,don't leave,xAttr,0
PersonX works without children,doesn't make amends,xIntent,0
PersonX works without children,Makes amends,xIntent,0
PersonX doesn't work without children,Makes amends,xIntent,0
PersonX dislikes fishing,to maintain relations,xIntent,0
PersonX dislikes fishing,don't maintain relations,xIntent,0
PersonX doesn't dislike fishing,don't maintain relations,xIntent,0
PersonX discontinues PersonX's studies,tired,xReact,0
PersonX discontinues PersonX's studies,not tired,xReact,0
PersonX doesn't discontinue PersonX's studies,not tired,xReact,0
PersonX hardly ever prepares food,to avoid catching COVID-19,xEffect,0
PersonX hardly ever prepares food,don't avoid catching COVID-19,xEffect,0
PersonX hardly ever doesn't prepare food,don't avoid catching COVID-19,xEffect,0
